Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Saudi,23,20-24,,,Female,10325
Non-Saudi,23,20-24,,,Female,7180
Saudi,23,20-24,,,Female,188
Non-Saudi,23,20-24,,,Female,8
Saudi,23,20-24,,,Female,61
Non-Saudi,23,20-24,,,Female,5
Saudi,23,20-24,,,Female,79
Non-Saudi,23,20-24,,,Female,4
Saudi,23,20-24,,,Female,157
Non-Saudi,23,20-24,,,Female,20
Saudi,23,20-24,,,Female,59
Non-Saudi,23,20-24,,,Female,4
Saudi,23,20-24,,,Female,603
Non-Saudi,23,20-24,,,Female,156
Saudi,23,20-24,,,Female,2390
Non-Saudi,23,20-24,,,Female,551
Saudi,23,20-24,,,Female,99
Non-Saudi,23,20-24,,,Female,5
Saudi,23,20-24,Al Bahah (Emirate HQ),Al Bahah,Male,463
Non-Saudi,23,20-24,Al Bahah (Emirate HQ),Al Bahah,Male,510
Saudi,23,20-24,Al Hujrah,Al Bahah,Male,85
Non-Saudi,23,20-24,Al Hujrah,Al Bahah,Male,25
Saudi,23,20-24,Al Aqiq,Al Bahah,Male,249
Non-Saudi,23,20-24,Al Aqiq,Al Bahah,Male,105
Saudi,23,20-24,,Al Bahah,Male,151
Non-Saudi,23,20-24,,Al Bahah,Male,55
Saudi,23,20-24,,Al Bahah,Male,305
Non-Saudi,23,20-24,,Al Bahah,Male,168
Saudi,23,20-24,,Al Bahah,Male,118
Non-Saudi,23,20-24,,Al Bahah,Male,58
Saudi,23,20-24,,Al Bahah,Male,237
Non-Saudi,23,20-24,,Al Bahah,Male,189
Saudi,23,20-24,,Al Bahah,Male,96
Non-Saudi,23,20-24,,Al Bahah,Male,33
Saudi,23,20-24,,Al Bahah,Male,112
Non-Saudi,23,20-24,,Al Bahah,Male,12
Saudi,23,20-24,,Al Bahah,Male,223
Non-Saudi,23,20-24,,Al Bahah,Male,92
Saudi,23,20-24,,,Male,1281
Non-Saudi,23,20-24,,,Male,678
Saudi,23,20-24,,,Male,383
Non-Saudi,23,20-24,,,Male,210
Saudi,23,20-24,,,Male,1477
Non-Saudi,23,20-24,,,Male,1092
Saudi,23,20-24,,,Male,687
Non-Saudi,23,20-24,,,Male,322
Saudi,23,20-24,,,Male,130
Non-Saudi,23,20-24,,,Male,72
Saudi,23,20-24,,,Male,623
Non-Saudi,23,20-24,,,Male,282
Saudi,23,20-24,,,Male,420
Non-Saudi,23,20-24,,,Male,288
Saudi,23,20-24,,,Male,1289
Non-Saudi,23,20-24,,,Male,865
Saudi,23,20-24,,,Male,377
Non-Saudi,23,20-24,,,Male,190
Saudi,23,20-24,,,Male,64
Non-Saudi,23,20-24,,,Male,14
Saudi,23,20-24,,,Male,2231
Non-Saudi,23,20-24,,,Male,2009
Saudi,23,20-24,,,Male,492
Non-Saudi,23,20-24,,,Male,539
Saudi,23,20-24,,,Male,347
Non-Saudi,23,20-24,,,Male,286
Saudi,23,20-24,,,Male,1268
Non-Saudi,23,20-24,,,Male,962
Saudi,23,20-24,,,Male,31431
Non-Saudi,23,20-24,,,Male,59547
Saudi,23,20-24,,,Male,206
Non-Saudi,23,20-24,,,Male,88
Saudi,23,20-24,,,Male,522
Non-Saudi,23,20-24,,,Male,384
Saudi,23,20-24,,,Male,243
Non-Saudi,23,20-24,,,Male,162
Saudi,23,20-24,,,Male,64
Non-Saudi,23,20-24,,,Male,75
Saudi,23,20-24,,,Male,525
Non-Saudi,23,20-24,,,Male,243
Saudi,23,20-24,,,Male,969
Non-Saudi,23,20-24,,,Male,1053
Saudi,23,20-24,,,Male,369
Non-Saudi,23,20-24,,,Male,374
Saudi,23,20-24,,,Male,78
Non-Saudi,23,20-24,,,Male,71
Saudi,23,20-24,,,Male,116
Non-Saudi,23,20-24,,,Male,166
Saudi,23,20-24,,,Male,262
Non-Saudi,23,20-24,,,Male,162
Saudi,23,20-24,,,Male,224
Non-Saudi,23,20-24,,,Male,268
Saudi,23,20-24,,,Male,251
Non-Saudi,23,20-24,,,Male,322
Saudi,23,20-24,,,Male,140
Non-Saudi,23,20-24,,,Male,203
Saudi,23,20-24,,,Male,529
Non-Saudi,23,20-24,,,Male,347
Saudi,23,20-24,,,Male,63
Non-Saudi,23,20-24,,,Male,56
Saudi,23,20-24,,,Male,597
Non-Saudi,23,20-24,,,Male,332
Saudi,23,20-24,,,Male,252
Non-Saudi,23,20-24,,,Male,173
Saudi,23,20-24,,,Male,364
Non-Saudi,23,20-24,,,Male,242
Saudi,23,20-24,,,Male,411
Non-Saudi,23,20-24,,,Male,333
Saudi,23,20-24,,,Male,817
Non-Saudi,23,20-24,,,Male,631
Saudi,23,20-24,,,Male,48
Non-Saudi,23,20-24,,,Male,35
Saudi,23,20-24,,,Male,311
Non-Saudi,23,20-24,,,Male,390
Saudi,23,20-24,,,Male,343
Non-Saudi,23,20-24,,,Male,126
Saudi,23,20-24,,,Male,4295
Non-Saudi,23,20-24,,,Male,4764
Saudi,23,20-24,,,Male,226
Non-Saudi,23,20-24,,,Male,127
Saudi,23,20-24,,,Male,153
Non-Saudi,23,20-24,,,Male,121
Saudi,23,20-24,,,Male,165
Non-Saudi,23,20-24,,,Male,97
Saudi,23,20-24,,,Male,1173
Non-Saudi,23,20-24,,,Male,1198
Saudi,23,20-24,,,Male,199
Non-Saudi,23,20-24,,,Male,128
Saudi,23,20-24,,,Male,372
Non-Saudi,23,20-24,,,Male,82
Saudi,23,20-24,,,Male,433
Non-Saudi,23,20-24,,,Male,221
Saudi,23,20-24,,,Male,164
Non-Saudi,23,20-24,,,Male,35
Saudi,23,20-24,,,Male,7945
Non-Saudi,23,20-24,,,Male,9262
Saudi,23,20-24,,,Male,325
Non-Saudi,23,20-24,,,Male,133
Saudi,23,20-24,,,Male,396
Non-Saudi,23,20-24,,,Male,164
Saudi,23,20-24,,,Male,372
Non-Saudi,23,20-24,,,Male,95
Saudi,23,20-24,,,Male,178
Non-Saudi,23,20-24,,,Male,31
Saudi,23,20-24,,,Male,1783
Non-Saudi,23,20-24,,,Male,1876
Saudi,23,20-24,,,Male,7292
Non-Saudi,23,20-24,,,Male,3969
Saudi,23,20-24,,,Male,1607
Non-Saudi,23,20-24,,,Male,4507
Saudi,23,20-24,,,Male,2068
Non-Saudi,23,20-24,,,Male,5616
Saudi,23,20-24,,,Male,493
Non-Saudi,23,20-24,,,Male,351
Saudi,23,20-24,,,Male,7806
Non-Saudi,23,20-24,,,Male,10296
Saudi,23,20-24,,,Male,49
Non-Saudi,23,20-24,,,Male,40
Saudi,23,20-24,,,Male,3161
Non-Saudi,23,20-24,,,Male,2000
Saudi,23,20-24,,,Male,392
Non-Saudi,23,20-24,,,Male,395
Saudi,23,20-24,,,Male,302
Non-Saudi,23,20-24,,,Male,451
Saudi,23,20-24,,,Male,2827
Non-Saudi,23,20-24,,,Male,2193
Saudi,23,20-24,,,Male,280
Non-Saudi,23,20-24,,,Male,561
Saudi,23,20-24,,,Male,108
Non-Saudi,23,20-24,,,Male,78
Saudi,23,20-24,,,Male,121
Non-Saudi,23,20-24,,,Male,59
Saudi,23,20-24,,,Male,348
Non-Saudi,23,20-24,,,Male,210
Saudi,23,20-24,,,Male,474
Non-Saudi,23,20-24,,,Male,339
Saudi,23,20-24,,,Male,4165
Non-Saudi,23,20-24,,,Male,2713
Saudi,23,20-24,,,Male,297
Non-Saudi,23,20-24,,,Male,162
Saudi,23,20-24,,,Male,196
Non-Saudi,23,20-24,,,Male,118
Saudi,23,20-24,,,Male,361
Non-Saudi,23,20-24,,,Male,349
Saudi,23,20-24,,,Male,1179
Non-Saudi,23,20-24,,,Male,757
Saudi,23,20-24,,,Male,835
Non-Saudi,23,20-24,,,Male,413
Saudi,23,20-24,,,Male,81
Non-Saudi,23,20-24,,,Male,40
Saudi,23,20-24,,,Male,406
Non-Saudi,23,20-24,,,Male,77
Saudi,23,20-24,,,Male,497
Non-Saudi,23,20-24,,,Male,305
Saudi,23,20-24,,,Male,144
Non-Saudi,23,20-24,,,Male,25
Saudi,23,20-24,,,Male,246
Non-Saudi,23,20-24,,,Male,74
Saudi,23,20-24,,,Male,648
Non-Saudi,23,20-24,,,Male,196
Saudi,23,20-24,,,Male,231
Non-Saudi,23,20-24,,,Male,116
Saudi,23,20-24,,,Male,471
Non-Saudi,23,20-24,,,Male,398
Saudi,23,20-24,,,Male,1017
Non-Saudi,23,20-24,,,Male,1286
Saudi,23,20-24,,,Male,1074
Non-Saudi,23,20-24,,,Male,638
Saudi,23,20-24,,,Male,1271
Non-Saudi,23,20-24,,,Male,1158
Saudi,23,20-24,,,Male,378
Non-Saudi,23,20-24,,,Male,256
Saudi,23,20-24,,,Male,84
Non-Saudi,23,20-24,,,Male,59
Saudi,23,20-24,,,Male,169
Non-Saudi,23,20-24,,,Male,33
Saudi,23,20-24,,,Male,291
Non-Saudi,23,20-24,,,Male,63
Saudi,23,20-24,,,Male,548
Non-Saudi,23,20-24,,,Male,137
Saudi,23,20-24,,,Male,157
Non-Saudi,23,20-24,,,Male,23
Saudi,23,20-24,,,Male,140
Non-Saudi,23,20-24,,,Male,69
Saudi,23,20-24,,,Male,155
Non-Saudi,23,20-24,,,Male,120
Saudi,23,20-24,,,Male,107
Non-Saudi,23,20-24,,,Male,39
Saudi,23,20-24,,,Male,306
Non-Saudi,23,20-24,,,Male,300
Saudi,23,20-24,,,Male,3050
Non-Saudi,23,20-24,,,Male,2561
Saudi,23,20-24,,,Male,130
Non-Saudi,23,20-24,,,Male,86
Saudi,23,20-24,,,Male,133
Non-Saudi,23,20-24,,,Male,26
Saudi,23,20-24,,,Male,2549
Non-Saudi,23,20-24,,,Male,2273
Saudi,23,20-24,,,Male,747
Non-Saudi,23,20-24,,,Male,396
Saudi,23,20-24,,,Male,72
Non-Saudi,23,20-24,,,Male,13
Saudi,23,20-24,,,Male,197
Non-Saudi,23,20-24,,,Male,30
Saudi,23,20-24,,,Male,134
Non-Saudi,23,20-24,,,Male,49
Saudi,23,20-24,,,Male,339
Non-Saudi,23,20-24,,,Male,176
Saudi,23,20-24,,,Male,219
Non-Saudi,23,20-24,,,Male,209
Saudi,23,20-24,,,Male,366
Non-Saudi,23,20-24,,,Male,110
Saudi,23,20-24,,,Male,350
Non-Saudi,23,20-24,,,Male,220
Saudi,23,20-24,,,Male,1191
Non-Saudi,23,20-24,,,Male,842
Saudi,23,20-24,,,Male,274
Non-Saudi,23,20-24,,,Male,129
Saudi,23,20-24,,,Male,114
Non-Saudi,23,20-24,,,Male,104
Saudi,23,20-24,,,Male,3198
Non-Saudi,23,20-24,,,Male,3643
Saudi,23,20-24,,,Male,394
Non-Saudi,23,20-24,,,Male,121
Saudi,23,20-24,,,Male,397
Non-Saudi,23,20-24,,,Male,180
Saudi,23,20-24,,,Male,152
Non-Saudi,23,20-24,,,Male,50
Saudi,23,20-24,,,Male,178
Non-Saudi,23,20-24,,,Male,127
Saudi,23,20-24,,,Male,1630
Non-Saudi,23,20-24,,,Male,929
Saudi,23,20-24,,,Male,297
Non-Saudi,23,20-24,,,Male,64
Saudi,23,20-24,,,Male,542
Non-Saudi,23,20-24,,,Male,310
Saudi,23,20-24,,,Male,296
Non-Saudi,23,20-24,,,Male,211
Saudi,23,20-24,,,Male,5809
Non-Saudi,23,20-24,,,Male,3575
Saudi,23,20-24,,,Male,458
Non-Saudi,23,20-24,,,Male,195
Saudi,23,20-24,,,Male,1367
Non-Saudi,23,20-24,,,Male,820
Saudi,23,20-24,,,Male,107
Non-Saudi,23,20-24,,,Male,46
Saudi,23,20-24,,,Male,500
Non-Saudi,23,20-24,,,Male,211
Saudi,23,20-24,,,Male,216
Non-Saudi,23,20-24,,,Male,68
Saudi,23,20-24,,,Male,507
Non-Saudi,23,20-24,,,Male,522
Saudi,23,20-24,,,Male,317
Non-Saudi,23,20-24,,,Male,142
Saudi,23,20-24,,,Male,15470
Non-Saudi,23,20-24,,,Male,23108
Saudi,23,20-24,,,Male,347
Non-Saudi,23,20-24,,,Male,158
Saudi,23,20-24,,,Male,495
Non-Saudi,23,20-24,,,Male,717
Saudi,23,20-24,,,Male,358
Non-Saudi,23,20-24,,,Male,178
Saudi,23,20-24,,,Male,10944
Non-Saudi,23,20-24,,,Male,19294
Saudi,23,20-24,,,Male,194
Non-Saudi,23,20-24,,,Male,76
Saudi,23,20-24,,,Male,42
Non-Saudi,23,20-24,,,Male,15
Saudi,23,20-24,,,Male,99
Non-Saudi,23,20-24,,,Male,49
Saudi,23,20-24,,,Male,158
Non-Saudi,23,20-24,,,Male,129
Saudi,23,20-24,,,Male,55
Non-Saudi,23,20-24,,,Male,25
Saudi,23,20-24,,,Male,537
Non-Saudi,23,20-24,,,Male,425
Saudi,23,20-24,,,Male,2221
Non-Saudi,23,20-24,,,Male,2624
Saudi,23,20-24,,,Male,112
Non-Saudi,23,20-24,,,Male,75
Saudi,24,20-24,Al Bahah (Emirate HQ),Al Bahah,Female,435
Non-Saudi,24,20-24,Al Bahah (Emirate HQ),Al Bahah,Female,137
Saudi,24,20-24,Al Hujrah,Al Bahah,Female,79
Non-Saudi,24,20-24,Al Hujrah,Al Bahah,Female,3
Saudi,24,20-24,Al Aqiq,Al Bahah,Female,239
Non-Saudi,24,20-24,Al Aqiq,Al Bahah,Female,21
Saudi,24,20-24,,Al Bahah,Female,128
Non-Saudi,24,20-24,,Al Bahah,Female,10
Saudi,24,20-24,,Al Bahah,Female,294
Non-Saudi,24,20-24,,Al Bahah,Female,11
Saudi,24,20-24,,Al Bahah,Female,112
Non-Saudi,24,20-24,,Al Bahah,Female,13
Saudi,24,20-24,,Al Bahah,Female,268
Non-Saudi,24,20-24,,Al Bahah,Female,69
Saudi,24,20-24,,Al Bahah,Female,92
Non-Saudi,24,20-24,,Al Bahah,Female,9
Saudi,24,20-24,,Al Bahah,Female,89
Non-Saudi,24,20-24,,Al Bahah,Female,6
Saudi,24,20-24,,Al Bahah,Female,193
Non-Saudi,24,20-24,,Al Bahah,Female,27
Saudi,24,20-24,,,Female,1132
Non-Saudi,24,20-24,,,Female,227
Saudi,24,20-24,,,Female,348
Non-Saudi,24,20-24,,,Female,46
Saudi,24,20-24,,,Female,1389
Non-Saudi,24,20-24,,,Female,377
Saudi,24,20-24,,,Female,753
Non-Saudi,24,20-24,,,Female,55
Saudi,24,20-24,,,Female,139
Non-Saudi,24,20-24,,,Female,25
Saudi,24,20-24,,,Female,505
Non-Saudi,24,20-24,,,Female,88
Saudi,24,20-24,,,Female,376
Non-Saudi,24,20-24,,,Female,113
Saudi,24,20-24,,,Female,1281
Non-Saudi,24,20-24,,,Female,295
Saudi,24,20-24,,,Female,375
Non-Saudi,24,20-24,,,Female,33
Saudi,24,20-24,,,Female,104
Non-Saudi,24,20-24,,,Female,7
Saudi,24,20-24,,,Female,2180
Non-Saudi,24,20-24,,,Female,561
Saudi,24,20-24,,,Female,489
Non-Saudi,24,20-24,,,Female,183
Saudi,24,20-24,,,Female,363
Non-Saudi,24,20-24,,,Female,77
Saudi,24,20-24,,,Female,1339
Non-Saudi,24,20-24,,,Female,157
Saudi,24,20-24,,,Female,32615
Non-Saudi,24,20-24,,,Female,17744
Saudi,24,20-24,,,Female,187
Non-Saudi,24,20-24,,,Female,11
Saudi,24,20-24,,,Female,473
Non-Saudi,24,20-24,,,Female,84
Saudi,24,20-24,,,Female,239
Non-Saudi,24,20-24,,,Female,36
Saudi,24,20-24,,,Female,55
Non-Saudi,24,20-24,,,Female,5
Saudi,24,20-24,,,Female,480
Non-Saudi,24,20-24,,,Female,61
Saudi,24,20-24,,,Female,918
Non-Saudi,24,20-24,,,Female,150
Saudi,24,20-24,,,Female,372
Non-Saudi,24,20-24,,,Female,61
Saudi,24,20-24,,,Female,64
Non-Saudi,24,20-24,,,Female,16
Saudi,24,20-24,,,Female,128
Non-Saudi,24,20-24,,,Female,11
Saudi,24,20-24,,,Female,259
Non-Saudi,24,20-24,,,Female,32
Saudi,24,20-24,,,Female,218
Non-Saudi,24,20-24,,,Female,22
Saudi,24,20-24,,,Female,273
Non-Saudi,24,20-24,,,Female,56
Saudi,24,20-24,,,Female,112
Non-Saudi,24,20-24,,,Female,25
Saudi,24,20-24,,,Female,508
Non-Saudi,24,20-24,,,Female,45
Saudi,24,20-24,,,Female,76
Non-Saudi,24,20-24,,,Female,11
Saudi,24,20-24,,,Female,643
Non-Saudi,24,20-24,,,Female,69
Saudi,24,20-24,,,Female,243
Non-Saudi,24,20-24,,,Female,31
Saudi,24,20-24,,,Female,411
Non-Saudi,24,20-24,,,Female,40
Saudi,24,20-24,,,Female,421
Non-Saudi,24,20-24,,,Female,107
Saudi,24,20-24,,,Female,839
Non-Saudi,24,20-24,,,Female,121
Saudi,24,20-24,,,Female,48
Non-Saudi,24,20-24,,,Female,4
Saudi,24,20-24,,,Female,292
Non-Saudi,24,20-24,,,Female,34
Saudi,24,20-24,,,Female,333
Non-Saudi,24,20-24,,,Female,12
Saudi,24,20-24,,,Female,4079
Non-Saudi,24,20-24,,,Female,834
Saudi,24,20-24,,,Female,253
Non-Saudi,24,20-24,,,Female,19
Saudi,24,20-24,,,Female,129
Non-Saudi,24,20-24,,,Female,4
Saudi,24,20-24,,,Female,153
Non-Saudi,24,20-24,,,Female,10
Saudi,24,20-24,,,Female,1149
Non-Saudi,24,20-24,,,Female,230
Saudi,24,20-24,,,Female,184
Non-Saudi,24,20-24,,,Female,19
Saudi,24,20-24,,,Female,333
Non-Saudi,24,20-24,,,Female,14
Saudi,24,20-24,,,Female,414
Non-Saudi,24,20-24,,,Female,44
Saudi,24,20-24,,,Female,165
Non-Saudi,24,20-24,,,Female,2
Saudi,24,20-24,,,Female,7814
Non-Saudi,24,20-24,,,Female,2481
Saudi,24,20-24,,,Female,324
Non-Saudi,24,20-24,,,Female,14
Saudi,24,20-24,,,Female,400
Non-Saudi,24,20-24,,,Female,23
Saudi,24,20-24,,,Female,334
Non-Saudi,24,20-24,,,Female,20
Saudi,24,20-24,,,Female,179
Non-Saudi,24,20-24,,,Female,4
Saudi,24,20-24,,,Female,2057
Non-Saudi,24,20-24,,,Female,545
Saudi,24,20-24,,,Female,7280
Non-Saudi,24,20-24,,,Female,953
Saudi,24,20-24,,,Female,1831
Non-Saudi,24,20-24,,,Female,743
Saudi,24,20-24,,,Female,2037
Non-Saudi,24,20-24,,,Female,1346
Saudi,24,20-24,,,Female,493
Non-Saudi,24,20-24,,,Female,122
Saudi,24,20-24,,,Female,7377
Non-Saudi,24,20-24,,,Female,2432
Saudi,24,20-24,,,Female,40
Non-Saudi,24,20-24,,,Female,11
Saudi,24,20-24,,,Female,3441
Non-Saudi,24,20-24,,,Female,357
Saudi,24,20-24,,,Female,384
Non-Saudi,24,20-24,,,Female,111
Saudi,24,20-24,,,Female,334
Non-Saudi,24,20-24,,,Female,65
Saudi,24,20-24,,,Female,2772
Non-Saudi,24,20-24,,,Female,608
Saudi,24,20-24,,,Female,242
Non-Saudi,24,20-24,,,Female,54
Saudi,24,20-24,,,Female,125
Non-Saudi,24,20-24,,,Female,23
Saudi,24,20-24,,,Female,111
Non-Saudi,24,20-24,,,Female,13
Saudi,24,20-24,,,Female,322
Non-Saudi,24,20-24,,,Female,43
Saudi,24,20-24,,,Female,455
Non-Saudi,24,20-24,,,Female,41
Saudi,24,20-24,,,Female,4094
Non-Saudi,24,20-24,,,Female,646
Saudi,24,20-24,,,Female,283
Non-Saudi,24,20-24,,,Female,27
Saudi,24,20-24,,,Female,193
Non-Saudi,24,20-24,,,Female,24
Saudi,24,20-24,,,Female,298
Non-Saudi,24,20-24,,,Female,43
Saudi,24,20-24,,,Female,1232
Non-Saudi,24,20-24,,,Female,124
Saudi,24,20-24,,,Female,871
Non-Saudi,24,20-24,,,Female,127
Saudi,24,20-24,,,Female,73
Non-Saudi,24,20-24,,,Female,22
Saudi,24,20-24,,,Female,383
Non-Saudi,24,20-24,,,Female,12
Saudi,24,20-24,,,Female,446
Non-Saudi,24,20-24,,,Female,44
Saudi,24,20-24,,,Female,124
Non-Saudi,24,20-24,,,Female,3
Saudi,24,20-24,,,Female,256
Non-Saudi,24,20-24,,,Female,30
Saudi,24,20-24,,,Female,568
Non-Saudi,24,20-24,,,Female,65
Saudi,24,20-24,,,Female,204
Non-Saudi,24,20-24,,,Female,20
Saudi,24,20-24,,,Female,565
Non-Saudi,24,20-24,,,Female,108
Saudi,24,20-24,,,Female,1132
Non-Saudi,24,20-24,,,Female,243
Saudi,24,20-24,,,Female,873
Non-Saudi,24,20-24,,,Female,264
Saudi,24,20-24,,,Female,1253
Non-Saudi,24,20-24,,,Female,340
Saudi,24,20-24,,,Female,381
Non-Saudi,24,20-24,,,Female,80
Saudi,24,20-24,,,Female,78
Non-Saudi,24,20-24,,,Female,14
Saudi,24,20-24,,,Female,127
Non-Saudi,24,20-24,,,Female,18
Saudi,24,20-24,,,Female,228
Non-Saudi,24,20-24,,,Female,18
Saudi,24,20-24,,,Female,541
Non-Saudi,24,20-24,,,Female,13
Saudi,24,20-24,,,Female,138
Non-Saudi,24,20-24,,,Female,9
Saudi,24,20-24,,,Female,144
Non-Saudi,24,20-24,,,Female,10
Saudi,24,20-24,,,Female,152
Non-Saudi,24,20-24,,,Female,26
Saudi,24,20-24,,,Female,98
Non-Saudi,24,20-24,,,Female,9
Saudi,24,20-24,,,Female,325
Non-Saudi,24,20-24,,,Female,49
Saudi,24,20-24,,,Female,2925
Non-Saudi,24,20-24,,,Female,775
Saudi,24,20-24,,,Female,123
Non-Saudi,24,20-24,,,Female,18
Saudi,24,20-24,,,Female,130
Non-Saudi,24,20-24,,,Female,9
Saudi,24,20-24,,,Female,2488
Non-Saudi,24,20-24,,,Female,623
Saudi,24,20-24,,,Female,694
Non-Saudi,24,20-24,,,Female,94
Saudi,24,20-24,,,Female,67
Non-Saudi,24,20-24,,,Female,6
Saudi,24,20-24,,,Female,186
Non-Saudi,24,20-24,,,Female,1
Saudi,24,20-24,,,Female,128
Non-Saudi,24,20-24,,,Female,9
Saudi,24,20-24,,,Female,305
Non-Saudi,24,20-24,,,Female,41
Saudi,24,20-24,,,Female,202
Non-Saudi,24,20-24,,,Female,43
Saudi,24,20-24,,,Female,343
Non-Saudi,24,20-24,,,Female,13
Saudi,24,20-24,,,Female,368
Non-Saudi,24,20-24,,,Female,49
Saudi,24,20-24,,,Female,1243
Non-Saudi,24,20-24,,,Female,230
Saudi,24,20-24,,,Female,259
Non-Saudi,24,20-24,,,Female,32
Saudi,24,20-24,,,Female,103
Non-Saudi,24,20-24,,,Female,16
Saudi,24,20-24,,,Female,3055
Non-Saudi,24,20-24,,,Female,664
Saudi,24,20-24,,,Female,340
Non-Saudi,24,20-24,,,Female,10
Saudi,24,20-24,,,Female,379
Non-Saudi,24,20-24,,,Female,50
Saudi,24,20-24,,,Female,145
Non-Saudi,24,20-24,,,Female,12
Saudi,24,20-24,,,Female,222
Non-Saudi,24,20-24,,,Female,18
Saudi,24,20-24,,,Female,1525
Non-Saudi,24,20-24,,,Female,127
Saudi,24,20-24,,,Female,267
Non-Saudi,24,20-24,,,Female,21
Saudi,24,20-24,,,Female,556
Non-Saudi,24,20-24,,,Female,52
Saudi,24,20-24,,,Female,278
Non-Saudi,24,20-24,,,Female,20
Saudi,24,20-24,,,Female,5928
Non-Saudi,24,20-24,,,Female,1110
Saudi,24,20-24,,,Female,434
Non-Saudi,24,20-24,,,Female,35
Saudi,24,20-24,,,Female,1382
Non-Saudi,24,20-24,,,Female,100
Saudi,24,20-24,,,Female,98
Non-Saudi,24,20-24,,,Female,8
Saudi,24,20-24,,,Female,511
Non-Saudi,24,20-24,,,Female,30
Saudi,24,20-24,,,Female,225
Non-Saudi,24,20-24,,,Female,5
Saudi,24,20-24,,,Female,511
Non-Saudi,24,20-24,,,Female,107
Saudi,24,20-24,,,Female,305
Non-Saudi,24,20-24,,,Female,16
Saudi,24,20-24,,,Female,16043
Non-Saudi,24,20-24,,,Female,9719
Saudi,24,20-24,,,Female,318
Non-Saudi,24,20-24,,,Female,24
Saudi,24,20-24,,,Female,518
Non-Saudi,24,20-24,,,Female,88
Saudi,24,20-24,,,Female,320
Non-Saudi,24,20-24,,,Female,23
Saudi,24,20-24,,,Female,10552
Non-Saudi,24,20-24,,,Female,7674
Saudi,24,20-24,,,Female,189
Non-Saudi,24,20-24,,,Female,10
Saudi,24,20-24,,,Female,55
Non-Saudi,24,20-24,,,Female,7
Saudi,24,20-24,,,Female,81
Non-Saudi,24,20-24,,,Female,10
Saudi,24,20-24,,,Female,138
Non-Saudi,24,20-24,,,Female,15
Saudi,24,20-24,,,Female,62
Non-Saudi,24,20-24,,,Female,7
Saudi,24,20-24,,,Female,580
Non-Saudi,24,20-24,,,Female,170
Saudi,24,20-24,,,Female,2379
Non-Saudi,24,20-24,,,Female,694
Saudi,24,20-24,,,Female,97
Non-Saudi,24,20-24,,,Female,5
Saudi,24,20-24,Al Bahah (Emirate HQ),Al Bahah,Male,461
Non-Saudi,24,20-24,Al Bahah (Emirate HQ),Al Bahah,Male,770
Saudi,24,20-24,Al Hujrah,Al Bahah,Male,90
Non-Saudi,24,20-24,Al Hujrah,Al Bahah,Male,37
Saudi,24,20-24,Al Aqiq,Al Bahah,Male,265
Non-Saudi,24,20-24,Al Aqiq,Al Bahah,Male,223
Saudi,24,20-24,,Al Bahah,Male,113
Non-Saudi,24,20-24,,Al Bahah,Male,77
Saudi,24,20-24,,Al Bahah,Male,293
Non-Saudi,24,20-24,,Al Bahah,Male,239
Saudi,24,20-24,,Al Bahah,Male,121
Non-Saudi,24,20-24,,Al Bahah,Male,89
Saudi,24,20-24,,Al Bahah,Male,276
Non-Saudi,24,20-24,,Al Bahah,Male,302
Saudi,24,20-24,,Al Bahah,Male,104
Non-Saudi,24,20-24,,Al Bahah,Male,54
Saudi,24,20-24,,Al Bahah,Male,91
Non-Saudi,24,20-24,,Al Bahah,Male,19
Saudi,24,20-24,,Al Bahah,Male,184
Non-Saudi,24,20-24,,Al Bahah,Male,129
Saudi,24,20-24,,,Male,1253
Non-Saudi,24,20-24,,,Male,1007
Saudi,24,20-24,,,Male,349
Non-Saudi,24,20-24,,,Male,290
Saudi,24,20-24,,,Male,1514
Non-Saudi,24,20-24,,,Male,1656
Saudi,24,20-24,,,Male,669
Non-Saudi,24,20-24,,,Male,422
Saudi,24,20-24,,,Male,121
Non-Saudi,24,20-24,,,Male,134
Saudi,24,20-24,,,Male,588
Non-Saudi,24,20-24,,,Male,398
Saudi,24,20-24,,,Male,394
Non-Saudi,24,20-24,,,Male,399
Saudi,24,20-24,,,Male,1309
Non-Saudi,24,20-24,,,Male,1254
Saudi,24,20-24,,,Male,366
Non-Saudi,24,20-24,,,Male,268
Saudi,24,20-24,,,Male,66
Non-Saudi,24,20-24,,,Male,30
Saudi,24,20-24,,,Male,2171
Non-Saudi,24,20-24,,,Male,3011
Saudi,24,20-24,,,Male,459
Non-Saudi,24,20-24,,,Male,738
Saudi,24,20-24,,,Male,353
Non-Saudi,24,20-24,,,Male,348
Saudi,24,20-24,,,Male,1276
Non-Saudi,24,20-24,,,Male,1440
Saudi,24,20-24,,,Male,33354
Non-Saudi,24,20-24,,,Male,79411
Saudi,24,20-24,,,Male,209
Non-Saudi,24,20-24,,,Male,107
Saudi,24,20-24,,,Male,478
Non-Saudi,24,20-24,,,Male,530
Saudi,24,20-24,,,Male,227
Non-Saudi,24,20-24,,,Male,213
Saudi,24,20-24,,,Male,67
Non-Saudi,24,20-24,,,Male,101
Saudi,24,20-24,,,Male,501
Non-Saudi,24,20-24,,,Male,390
Saudi,24,20-24,,,Male,955
Non-Saudi,24,20-24,,,Male,1486
Saudi,24,20-24,,,Male,400
Non-Saudi,24,20-24,,,Male,519
Saudi,24,20-24,,,Male,83
